"YEAR","AGE_GROUP","Sum(COUNT)"
2023,"Unknown",20432
2024,"Unknown",24509
2008,"All ages",2413
2009,"All ages",2910
2010,"All ages",4033
2011,"All ages",5604
2012,"All ages",8242
2013,"All ages",9853
2014,"All ages",16289
2015,"All ages",35143
2016,"All ages",38703
2017,"All ages",39855
2018,"All ages",48216
2019,"All ages",48466
2020,"All ages",46905
2021,"All ages",49465
2022,"All ages",46868
2023,"All ages",11853
2024,"All ages",12063
2023,"65 and over",495
2024,"65 and over",547
2023,"40-64",21120
2024,"40-64",20154
2023,"26-39",23274
2024,"26-39",22020
2023,"17-25",9994
2024,"17-25",9863
2023,"0-16",71
2024,"0-16",98
